Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
28.35,1.452,13.21544
28.36,1.452,13.22996
28.36,1.452,13.22996
28.37,1.452,13.24448
28.38,1.452,13.259
28.39,1.452,13.27352
28.4,1.452,13.28804
28.41,1.452,13.30256
28.41,1.452,13.30256
28.42,1.452,13.31708
28.43,1.452,13.3316
28.44,1.452,13.34612
28.45,1.452,13.36064
28.46,1.452,13.37516
28.46,1.452,13.37516
28.47,1.452,13.38968
28.48,1.452,13.4042
28.49,1.452,13.41872
28.5,1.452,13.43324
28.51,1.452,13.44776
28.51,1.452,13.44776
28.52,1.453,13.46229
28.53,1.453,13.47682
28.54,1.453,13.49135
28.55,1.453,13.50588
28.56,1.453,13.52041
28.56,1.453,13.52041
28.57,1.453,13.53494
28.58,1.453,13.54947
28.59,1.453,13.564
28.6,1.453,13.57853
28.61,1.453,13.59306
28.62,1.453,13.60759
28.62,1.453,13.60759
28.63,1.454,13.62213
28.64,1.454,13.63667
28.65,1.454,13.65121
28.66,1.454,13.66575
28.66,1.454,13.66575
28.67,1.453,13.68028
28.68,1.453,13.69481
28.69,1.453,13.70934
28.7,1.454,13.72388
28.71,1.454,13.73842
28.71,1.454,13.73842
28.72,1.455,13.75297
28.73,1.455,13.76752
28.74,1.455,13.78207
28.75,1.456,13.79663
28.76,1.456,13.81119
28.76,1.456,13.81119
28.77,1.456,13.82575
28.78,1.456,13.84031
28.79,1.456,13.85487
28.8,1.455,13.86942
28.81,1.456,13.88398
28.81,1.456,13.88398
28.82,1.456,13.89854
28.83,1.456,13.9131
28.84,1.456,13.92766
