Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
21.14,1.45,12.91074
21.15,1.45,12.92524
21.15,1.45,12.92524
21.16,1.45,12.93974
21.17,1.45,12.95424
21.18,1.45,12.96874
21.19,1.45,12.98324
21.2,1.451,12.99775
21.21,1.451,13.01226
21.21,1.451,13.01226
21.22,1.451,13.02677
21.23,1.451,13.04128
21.24,1.451,13.05579
21.25,1.451,13.0703
21.26,1.451,13.08481
21.26,1.451,13.08481
21.27,1.451,13.09932
21.28,1.451,13.11383
21.29,1.451,13.12834
21.3,1.451,13.14285
21.31,1.451,13.15736
21.31,1.451,13.15736
21.32,1.452,13.17188
21.33,1.452,13.1864
21.34,1.452,13.20092
21.35,1.452,13.21544
21.36,1.452,13.22996
21.36,1.452,13.22996
21.37,1.452,13.24448
21.38,1.452,13.259
21.39,1.452,13.27352
21.4,1.452,13.28804
21.41,1.452,13.30256
21.41,1.452,13.30256
21.42,1.452,13.31708
21.43,1.452,13.3316
21.44,1.452,13.34612
21.45,1.452,13.36064
21.46,1.452,13.37516
21.46,1.452,13.37516
21.47,1.452,13.38968
21.48,1.452,13.4042
21.49,1.452,13.41872
21.5,1.452,13.43324
21.51,1.452,13.44776
21.51,1.452,13.44776
21.52,1.453,13.46229
21.53,1.453,13.47682
21.54,1.453,13.49135
21.55,1.453,13.50588
21.56,1.453,13.52041
21.56,1.453,13.52041
21.57,1.453,13.53494
21.58,1.453,13.54947
21.59,1.453,13.564
21.6,1.453,13.57853
21.61,1.453,13.59306
21.62,1.453,13.60759
21.62,1.453,13.60759
21.63,1.454,13.62213
21.64,1.454,13.63667
21.65,1.454,13.65121
21.66,1.454,13.66575
21.66,1.454,13.66575
21.67,1.453,13.68028
21.68,1.453,13.69481
21.69,1.453,13.70934
21.7,1.454,13.72388
21.71,1.454,13.73842
21.71,1.454,13.73842
21.72,1.455,13.75297
21.73,1.455,13.76752
21.74,1.455,13.78207
21.75,1.456,13.79663
21.76,1.456,13.81119
21.76,1.456,13.81119
21.77,1.456,13.82575
21.78,1.456,13.84031
21.79,1.456,13.85487
21.8,1.455,13.86942
21.81,1.456,13.88398
21.81,1.456,13.88398
21.82,1.456,13.89854
21.83,1.456,13.9131
21.84,1.456,13.92766
