Temp (K) ,cp (J/g-K),Enthalpy (J/g)
332.25,1.381127273,201.4562633
332.35,1.378215385,201.5940849
332.45,1.375890909,201.731674
332.55,1.374292308,201.8691032
332.65,1.372345455,202.0063377
332.75,1.369307692,202.1432685
332.85,1.367218182,202.2799903
332.95,1.365523077,202.4165426
333.05,1.363836364,202.5529263
333.15,1.363076923,202.689234
333.25,1.361436364,202.8253776
333.35,1.359938461,202.9613715
333.45,1.3592,203.0972915
333.55,1.3574,203.2330315
333.65,1.356472727,203.3686787
333.75,1.355507692,203.5042295
333.85,1.353909091,203.6396204
333.95,1.353338461,203.7749543
334.05,1.3526,203.9102143
334.15,1.351353846,204.0453496
334.25,1.349818182,204.1803315
334.35,1.349184615,204.3152499
334.45,1.348345455,204.4500845
334.55,1.347523077,204.5848368
334.65,1.347254545,204.7195622
334.75,1.346,204.8541622
334.85,1.345509091,204.9887131
334.95,1.345076923,205.1232208
335.05,1.344527273,205.2576736
335.15,1.344384615,205.392112
335.25,1.343981818,205.5265102
335.35,1.343,205.6608102
335.45,1.342781818,205.7950884
335.55,1.342215385,205.9293099
335.65,1.341963636,206.0635063
335.75,1.3418,206.1976863
335.85,1.341690909,206.3318554
335.95,1.340692308,206.4659246
336.05,1.340163636,206.599941
336.15,1.34,206.733941
336.25,1.339345455,206.8678755
336.35,1.339030769,207.0017786
336.45,1.338090909,207.1355877
336.55,1.338246154,207.2694123
336.65,1.3376,207.4031723
336.75,1.337184615,207.5368908
336.85,1.336672727,207.670558
336.95,1.336861539,207.8042442
337.05,1.336727273,207.9379169
337.15,1.336676923,208.0715846
337.25,1.336509091,208.2052355
337.35,1.336676923,208.3389032
337.45,1.336563636,208.4725596
337.55,1.336630769,208.6062226
337.65,1.335909091,208.7398136
337.75,1.335938461,208.8734074
337.85,1.335527273,209.0069601
337.95,1.335523077,209.1405124
338.05,1.334981818,209.2740106
338.15,1.334923077,209.4075029
338.25,1.334,209.5409029
338.35,1.333907692,209.6742937
338.45,1.333618182,209.8076555
338.55,1.333769231,209.9410324
338.65,1.333836364,210.0744161
338.75,1.333215385,210.2077376
338.85,1.332745455,210.3410122
338.95,1.332707692,210.4742829
339.05,1.332418182,210.6075247
339.15,1.331830769,210.7407078
339.25,1.332090909,210.8739169
339.35,1.331876923,211.0071046
339.45,1.331872727,211.1402919
339.55,1.331553846,211.2734473
339.65,1.331163636,211.4065636
339.75,1.331369231,211.5397005
339.85,1.331381818,211.6728387
339.95,1.330769231,211.8059157
340.05,1.331,211.9390157
340.15,1.331323077,212.072148
340.25,1.331218182,212.2052698
340.35,1.331138461,212.3383836
340.45,1.331436364,212.4715273
340.55,1.331,212.6046273
340.65,1.331163636,212.7377436
340.75,1.331,212.8708436
340.85,1.331,213.0039436
340.95,1.331138461,213.1370575
341.05,1.3304,213.2700975
341.15,1.329984615,213.4030959
341.25,1.3298,213.5360759
341.35,1.330215385,213.6690975
341.45,1.329636364,213.8020611
341.55,1.3304,213.9351011
341.65,1.330181818,214.0681193
341.75,1.3304,214.2011593
341.85,1.330236364,214.3341829
341.95,1.330030769,214.467186
342.05,1.3298,214.600166
342.15,1.329892308,214.7331552
342.25,1.329963636,214.8661516
342.35,1.328923077,214.9990439
342.45,1.329254545,215.1319694
342.55,1.328969231,215.2648663
342.65,1.329418182,215.3978081
342.75,1.328830769,215.5306912
342.85,1.328436364,215.6635348
342.95,1.328553846,215.7963902
343.05,1.328327273,215.9292229
343.15,1.328138461,216.0620368
343.25,1.328,216.1948368
343.35,1.328923077,216.3277291
343.45,1.3286,216.4605891
343.55,1.328323077,216.5934214
343.65,1.328109091,216.7262323
343.75,1.327907692,216.8590231
343.85,1.327836364,216.9918067
343.95,1.327953846,217.1246021
344.05,1.326909091,217.257293
344.15,1.327353846,217.3900284
344.25,1.326854545,217.5227138
344.35,1.326846154,217.6553984
344.45,1.3268,217.7880784
344.55,1.327030769,217.9207815
344.65,1.326963636,218.0534779
344.75,1.326661539,218.186144
344.85,1.327018182,218.3188459
344.95,1.326523077,218.4514982
345.05,1.3268,218.5841782
345.15,1.326661539,218.7168443
345.25,1.3262,218.8494643
345.35,1.326015385,218.9820659
345.45,1.326145455,219.1146804
345.55,1.3262,219.2473004
345.65,1.325981818,219.3798986
345.75,1.325876923,219.5124863
345.85,1.325872727,219.6450736
345.95,1.3256,219.7776336
346.05,1.325436364,219.9101772
346.15,1.3256,220.0427372
346.25,1.325436364,220.1752808
346.35,1.325415385,220.3078224
346.45,1.325327273,220.4403551
346.55,1.324538461,220.5728089
346.65,1.324890909,220.705298
346.75,1.324353846,220.8377334
346.85,1.323581818,220.9700916
346.95,1.3238,221.1024716
347.05,1.323527273,221.2348243
347.15,1.323753846,221.3671997
347.25,1.322818182,221.4994815
347.35,1.323015385,221.6317831
347.45,1.322163636,221.7639994
347.55,1.322553846,221.8962548
347.65,1.322,222.0284548
347.75,1.322046154,222.1606594
347.85,1.322218182,222.2928812
347.95,1.321030769,222.4249843
348.05,1.3208,222.5570643
348.15,1.320753846,222.6891397
348.25,1.320636364,222.8212033
348.35,1.3208,222.9532833
348.45,1.321018182,223.0853852
348.55,1.320430769,223.2174282
348.65,1.320309091,223.3494591
348.75,1.320569231,223.4815161
348.85,1.319981818,223.6135143
348.95,1.319784615,223.7454927
349.05,1.319381818,223.8774309
349.15,1.319257143,224.0093566
349.25,1.31852,224.1412086
349.35,1.318307692,224.2730394
349.45,1.317963636,224.4048357
349.55,1.317338461,224.5365696
349.65,1.317363636,224.668306
349.75,1.316784615,224.7999844
349.85,1.3166,224.9316444
349.95,1.316728572,225.0633173
350.05,1.31654,225.1949713
350.15,1.316257143,225.326597
350.25,1.31636,225.458233
350.35,1.315676923,225.5898007
350.45,1.315509091,225.7213516
350.55,1.315492308,225.8529008
350.65,1.315618182,225.9844626
350.75,1.3154,226.1160026
350.85,1.31534,226.2475366
350.95,1.3148,226.3790166
351.05,1.31534,226.5105506
351.15,1.314928572,226.6420435
351.25,1.31462,226.7735055
351.35,1.314523077,226.9049578
351.45,1.314418182,227.0363996
351.55,1.3142,227.1678196
351.65,1.314036364,227.2992233
351.75,1.314061539,227.4306294
351.85,1.313818182,227.5620112
351.95,1.3136,227.6933712
352.05,1.3136,227.8247312
352.15,1.3136,227.9560912
352.25,1.31306,228.0873972
352.35,1.3136,228.2187572
352.45,1.313054545,228.3500627
352.55,1.312957143,228.4813584
352.65,1.313,228.6126584
352.75,1.3124,228.7438984
352.85,1.312509091,228.8751493
352.95,1.312871428,229.0064364
353.05,1.31246,229.1376824
353.15,1.311842857,229.2688667
353.25,1.31216,229.4000827
353.35,1.311628572,229.5312456
353.45,1.31156,229.6624016
353.55,1.311071428,229.7935087
353.65,1.31096,229.9246047
353.75,1.310814286,230.0556862
353.85,1.31102,230.1867882
353.95,1.310814286,230.3178696
354.05,1.3106,230.4489296
354.15,1.310342857,230.5799639
354.25,1.31,230.7109639
354.35,1.310415385,230.8420054
354.45,1.310054545,230.9730109
354.55,1.309914286,231.1040023
354.65,1.31,231.2350023
354.75,1.309957143,231.365998
354.85,1.30958,231.496956
354.95,1.309442857,231.6279003
355.05,1.3094,231.7588403
355.15,1.3094,231.8897803
355.25,1.30946,232.0207263
355.35,1.309442857,232.1516706
355.45,1.30922,232.2825926
355.55,1.308885714,232.4134812
355.65,1.3088,232.5443612
355.75,1.3088,232.6752412
355.85,1.3088,232.8061212
355.95,1.308628572,232.936984
356.05,1.30856,233.06784
356.15,1.3088,233.19872
356.25,1.30844,233.329564
356.35,1.308542857,233.4604183
356.45,1.30856,233.5912743
356.55,1.3082,233.7220943
356.65,1.3085,233.8529443
356.75,1.308414286,233.9837857
356.85,1.3082,234.1146057
356.95,1.3085,234.2454557
357.05,1.3085,234.3763057
357.15,1.307857143,234.5070914
357.25,1.30778,234.6378694
357.35,1.3073,234.7685994
357.45,1.30754,234.8993534
357.55,1.3076,235.0301134
357.65,1.3076,235.1608734
357.75,1.307428572,235.2916163
357.85,1.30754,235.4223703
357.95,1.307,235.5530703
358.05,1.307,235.6837703
358.15,1.307,235.8144703
358.25,1.30646,235.9451163
358.35,1.306742857,236.0757906
358.45,1.3067,236.2064606
358.55,1.3067,236.3371306
358.65,1.30598,236.4677286
358.75,1.305842857,236.5983129
358.85,1.30586,236.7288989
358.95,1.306142857,236.8595132
359.05,1.306072727,236.9901204
359.15,1.306215385,237.120742
359.25,1.3064,237.251382
359.35,1.305971428,237.3819791
359.45,1.3058,237.5125591
359.55,1.305476923,237.6431068
359.65,1.30538,237.7736448
359.75,1.305971428,237.9042419
359.85,1.3058,238.0348219
359.95,1.305569231,238.1653789
360.05,1.305145455,238.2958934
360.15,1.3052,238.4264134
360.25,1.3052,238.5569334
360.35,1.304969231,238.6874303
360.45,1.304981818,238.8179285
360.55,1.305015385,238.9484301
360.65,1.304709091,239.078901
360.75,1.304138461,239.2093148
360.85,1.304,239.3397148
360.95,1.304,239.4701148
361.05,1.304,239.6005148
361.15,1.304553846,239.7309702
361.25,1.304,239.8613702
361.35,1.3034,239.9917102
361.45,1.3034,240.1220502
361.55,1.303353846,240.2523856
361.65,1.303236364,240.3827092
361.75,1.303353846,240.5130446
361.85,1.303072727,240.6433519
